제목,리뷰,평점
러브 앤 피스,거북이와 마리아가 돌아오면 또 파티를 열자구요 ,9
어벤져스: 엔드게임,최고예요 눈물날 뻔 ㅠㅠ ,10
바이스,화나고 무섭고..미국시러 ,8
어벤져스: 엔드게임,10시간 런닝타임 해도됨 ,10
오직 그대만,아..ㅜ그래도 다행인 결말... ,10
어벤져스: 엔드게임,굿바이 아이언맨 .. 굿바이 마이 20대.. ,10
어벤져스: 엔드게임,마블 역시 짱입니다. 프리미엄 롯시에서 완전 편하게 잘 보았어요 ,10
어벤져스: 엔드게임,찡하네요....내가 이걸보려고 여태까지 모든 시리즈를 다 봤구니.... ,10
어벤져스: 엔드게임,마블팬들을 위한 최고의 선물입니다ㅠㅠ기억할게요 로다주 ,10
크게 될 놈,기대안하고 봐야 합니다 ,5
어벤져스: 엔드게임,3시간이 금방 지나가네요 - ,10
극한직업,재밌긴한데 유튭에서 영화소개로 본 영상이 영화의 90%라는게 유머다 ..ㅋㅋㅋ ,6
어벤져스: 엔드게임,백투더 푸쳐... 어벤져스 인피니트 워에서 끝났어야 됬어 ,5
어벤져스: 엔드게임,뒤늦게빠진1인..다 챙겨볼겁니다 ,10
어벤져스: 엔드게임,어제까지 인생 영화는 반지의제왕이었는데 오늘 어벤져스로 바꼈어요.ㅠㅠ ,10
미성년,연기자들에게 감탄.!! 김윤석감독의 다음 작품 이 기대됨!! ,10
사랑을 놓치다,왜 이영화를 이제야 봤는지.물흐르듯 자연스런 두사람의 연기와 누구나 공감가는 현실과 잔잔한 음악까지.영화 너무 좋다. ,10
어벤져스: 엔드게임,미국판 막장~...엮어도 너무 엮는다 ,1
어벤져스: 엔드게임,잘가 나의 히어로들...울면서 봤다 ㅠㅠ....으흑 ,10
어벤져스: 엔드게임,"영화 보고 방금 집에 도착했지만 지금도 벅찬 감동을 어떻게 말로 표현해야할지 모를 정도로 너무 좋았는데, 중간에 일본은 왜 나왔는지 정말 모를... 몰입감 깨지고 이상했음 ",10
어벤져스: 엔드게임,3000만큼 재밌네요 한번 더 봐야겠다 ㅎㅎ ,10
어벤져스: 엔드게임,아쉬운점도 좋은점도 있던 엔드게임편하지만 즐감했습니다! ,9
어벤져스: 엔드게임,초반에는 살짝 지루할 수 있으나 닥터스트레인지의 링이 나올때의 전율 아이언맨의 명대사는 그 시간을 상쇄시키기에 충분하다 ,10
더 길티,최소한의 정보로 최대한의 현장감을 선사한다. 음향의 훌룡한 활용이 돋보이는 영화. ,8
어벤져스: 엔드게임,시작은 I'm iron man 끝도 I'm iron man 아디오스~~ ,10
어벤져스: 엔드게임,군대가기전에 좋은추억 감사합니다!! ,10
어벤져스: 엔드게임,정말 거짓말 하나도 안보태고 우뢰매 1탄 만도 못하다. 우리 솔직해지자 ,1
어벤져스: 엔드게임,"캡틴의 묠니르는 에오울부터 떡밥이 있었음, 에이전트 카터의 자비스, 호크아이와 나타샤의 부다페스트 일 기억해?, 샘과 로저스, 버키와 로저스의 마지막 대화, 등등 지나가던 장면 하나하나가 팬서비스면서 떡밥회수였음. 아는 사람더꿀잼 역시 마블은 마블이다 ",10
스파이,제이슨 허당뎀. . . . ,10
변호인,별점 테러에도 불구하고 높은 평점이 유지되고 있어 다행입니다~~ ,9
어벤져스: 엔드게임,마지막에 싸울 때 온몸에 전율이 돋았다 진심... ,10
어벤져스: 엔드게임,마지막 1시간은 눈을 뗄 수 없었다 ,10
어벤져스: 엔드게임,아이언맨 지금까지 고생 하셨어요 ,10
어벤져스: 엔드게임,눈물난다 정말 ㅠㅠㅠㅠ ,10
어벤져스: 엔드게임,재밌고 볼만했습니다. ,8
티라노의 발톱,주라기공원이 이영화보다 일년전 나왔는데 그 수준은 천년 ,2
어벤져스: 엔드게임,어벤져스 3편+4편은 7시간 반짜리 한편의 대작. 마블과 계약종료된 아이언맨과 캡틴의 멋진 은퇴 만으로도 별 3000만큼 주고 싶다!!! ,10
어벤져스: 엔드게임,3100 만큼 사랑해 ㅜㅜ ,10
어벤져스: 엔드게임,"오 마이 캡틴, 그리고 아이언맨 지난 10년간 고마웠습니다. ",10
어벤져스: 엔드게임,아 ...  2 언 맨 슬퍼요 ㅠ나의 영웅 이렇게 ...아...  슬퍼요 ㅠ진짜 최고 ㅎ ,10
어벤져스: 엔드게임,이후 전개가 너무 궁금하네요 ,10
어벤져스: 엔드게임,다시보고싶은 영화 최고에요 ,10
아쿠아맨,화려한그래픽이 좋았다. ,9
어벤져스: 엔드게임,와 갠적으로 살면서 본 영화중 최고 5위안에 든다 ,10
어벤져스: 엔드게임,개재밌었음 ㄹㅇ 3000만큼 잼썼다아!!! ,10
어벤져스: 엔드게임,정말....저 마블영화 별로안좋아하는데 근데 뭔가 어벤져스는 항상 봤었기에 이번에도약간 의식처럼 보러갔는데 ...정말로 3시간동안 단 1분도 1초도 안지루했습니다ㅠㅠ다들 너무 멋있고 감동적이고 재밌고 꼭 보세요 2번보세요 3번보세요 ㅠㅠ후회 안합니다! ,10
어벤져스: 엔드게임,끝나자마자 또 보고 싶다는 생각이 들었다 ㅠㅠ ,10
뽀로로 극장판 보물섬 대모험,역시 뽀통령~ 아이들이 개봉 날만 기다렸는데 너무 좋아해요^^ ,10
어벤져스: 엔드게임,"아이언맨 스타트 , 아이언맨 피니시. ",10
어벤져스: 엔드게임,무엇을 상상하든 그 이상의 만족감 ,10
어벤져스: 엔드게임,이 시대최고의 명작~~~!! 고마워요 마블~~^^ ,10
어벤져스: 엔드게임,깔끔 시원 후련 전율 감동 굿 ,10
어벤져스: 엔드게임,그동안 재미를 주어서 고마웠어요 ㅎㅎ ,10
어벤져스: 엔드게임,진짜 재미있게봤어요 시간 가는 줄 몰랐어요 ,10
어벤져스: 엔드게임,이예쓰오우오우야아오우아아 ,10
어벤져스: 엔드게임,아이언맨ㅜㅜ 너무슬퍼 ,10
어벤져스: 엔드게임,안녕 나의히어로 이제 쉬도록해여 ,10
어벤져스: 엔드게임,나는 아이언맨이다.. ,10
어벤져스: 엔드게임,모두모인 어벤져스 보고 눈물찔끔났습니다! ,10
어벤져스: 엔드게임,정말 좋았지만ㅜㅜㅠㅠ약간의 아쉬움이 남는건 어쩔수없나봄... ,9
어벤져스: 엔드게임,말이필요없음. 쵝오!! ,8
행복,일상에 찌들고 익숙함의 소중함을 잊어갈때마다 이 영화 본다. 볼때마다 눈물나고 깨닫게 해주는 영화.그리고 임수정의 연기는 완벽하다. 디스코팡팡 타는 황정민 보면서 웃다 우는장면은 배우로써 그런 장면을 남겼다는 거에 대해 자부심을 느껴도될만한 장면이였음 ,10
어벤져스: 엔드게임,기대만큼은 아니지만 하던만큼은 했다인트로 부터 지림 ,10
어벤져스: 엔드게임,3시간이  30분처럼 굳굳 ,10
어벤져스: 엔드게임,"기대가 너무 컸나보다. 초중반에는 이렇다할 시원한 액션장면도 없고 내용이나 질질끌면서 클라이막스에 액션을 구겨넣었는데, 히어로 캐릭터들이 정신없이 떼거리로 나와서 산만하기만 하더라~ 마무리 감동 신파도 그저그렇고 뭔가 똥을 싸고 안닦고 나온 느낌이랄까 ",1
어벤져스: 엔드게임,넘 재미있음~구루트 기욤~~ㅎ ,10
어벤져스: 엔드게임,웃다 울다 웃다 이건 뭐... 한번 더 보고싶습니다. ,10
어벤져스: 엔드게임,샹각보다 영화가 기네요 ,8
어벤져스: 엔드게임,인피니티 사가를 잊지맙시다. ,10
어벤져스: 엔드게임,캡틴 아메리카사기 캐릭터 등극 ,8
어벤져스: 엔드게임,역시 어벤져스.기대이상이네요 ,10
어벤져스: 엔드게임,영화잘받습니다. 정말 예수님의 사랑을 알수있는 영화였습니다 ... ,10
어벤져스: 엔드게임,아이언맨 사랑해요 주말에 또보러갈게요 ,10
어벤져스: 엔드게임,마블 끝판왕 획 그었다 굳굳 ,10
어벤져스: 엔드게임,모든것의 끝   핵꿀잼 이제 마블은 볼거없겠당.. ,10
어벤져스: 엔드게임,ㄹㅇ 개미춋다 개꿀잼이네 ,10
어벤져스: 엔드게임,아 진짜 마지막에 울었다 ㅠㅠ ,10
어벤져스: 엔드게임,내가 액션영화 보고 눈물을 흘리다니 ^^ ,10
어벤져스: 엔드게임,I'm iron man ,10
어벤져스: 엔드게임,꿀잼 빅잼 허니잼 캡틴 아이언맨 토르 ㅂㅂ ,10
어벤져스: 엔드게임,내목3000만큼 사랑해 ,10
어벤져스: 엔드게임,딱잘라말해줌.마블시리즈를 좋아하거나 다봤으면 이 이상의 영화를 찾기 힘들정도.그렇지않다면 지루하거나 영화자체에 빈틈이 보일수있는 영화. 개인적으로 죽음의성물2보다 아련함이 크다. ,10
어벤져스: 엔드게임,재미있어요 최고입니다 ,10
어스,감독의 연출력은 정말 굉장하지만 이해력이 받쳐줘야 그 연출을 십분 만끽할 수 있을 것 같다. 한 마디로 어려운 영화다. ,8
어벤져스: 엔드게임,전투씬은 전율 그 자체다 ,10
어벤져스: 엔드게임,런링타임 3시간동안 한번도 지루한적이 없음 ,10
어벤져스: 엔드게임,진심 최고다 3000만큼 사랑해요 ,10
언더월드,언더월드의 시작 분위기는좋다. ,7
어벤져스: 엔드게임,이 여운을 오랫동안 기억할 수 있길 ,10
어벤져스: 엔드게임,솔직히 3시간이라 그런지 지루한 부분이 있음 그래도 마지막이라 그런지 뭔가 좀 기분이 그랬음 마지막 쿠키영상 기다렸는데 안나왔어요ㅜㅜ ,6
어벤져스: 엔드게임,마블 팬들을 위한 훌륭한 선물이자 대단원 크흑 ㅠㅠ ,10
어벤져스: 엔드게임,마블이 10년동안 인피니티워를 만들기위해 준비했다면 엔드게임은 그 10년을 한번에 다 보여준 영화 ,10
어벤져스: 엔드게임,액션도 별루고 최악이네요 ,1
어벤져스: 엔드게임,스포하시면 땅콩버터 센드위치로 쳐맞으십니다^^ ,10
어벤져스: 엔드게임,저도 마블 3000천만큼 사랑합니다~~3시간 길다고 생각안들만큼 너무 잘봤어요ㅠ 잼나요~감동도 있구요~~^^♥ ,10
어벤져스: 엔드게임,"다 보고나면, 치즈버거가 먹고 싶어지는 영화 ^^ ",10
어벤져스: 엔드게임,잼나네요   기대치에서  어딘가 모르게  1프로아쉬움 ,9
어벤져스: 엔드게임,올해 중 최고의 영화엿어요 ,10
어벤져스: 엔드게임,사실 타노스 이기는 경우가 딱1개가 아니고토니 죽게하는 경우가 딱1개였던거우주 날아다니고 몸통박치기로 우주전함 부시는 캡틴마블 있는데 타노스 그냥 여행다닐때 한번 박아주면 끝날거 경우의수 중 캡틴마블이 타노스 못만나는 경우의수 하나로 토니 죽인거임 ,10
어벤져스: 엔드게임,뭔가 공허하고 아쉽다 끝이라는게 ,10
크게 될 놈,배우들 연기 최고네요. ,10
어벤져스: 엔드게임,말도안되는 영화 이런영화를볼수있다니 꿈이다 ,10
어벤져스: 엔드게임,"좋은 부분은 좋았지만 안 좋은 부분이 눈에 더 띄는 영화. 비주얼과 메시지를 위해 서사와 설정을 희생한 것이 아깝다. 그리고 그 서사를 위해 특정캐릭터 몇몇만이 부각되는 것, 메인 빌런의 목적의식이 흔들리는 것이 가장 큰 단점. CG와 전투는 좋았다. ",5
어벤져스: 엔드게임,마블다시 정주행합니다 ,10
아틱,여자를 덮쳐야지 이양반아 ㅋ ,10
어벤져스: 엔드게임,어벤져스에 댓글알바따윈 없는데  어벤져스땜에 관객수 못 채우고있는 다른 영화에서 어벤져스 까내리려고 댓글 알바 쓰는듯 ㅎ ,10
어벤져스: 엔드게임,히어로영화보고 처음 울었다... ,10
어벤져스: 엔드게임,처음으로 혼자 영화관가서 본 영화잠 덜자고 조조로봤는데 후회없다 ,10
어벤져스: 엔드게임,시리즈 마무리 잼게 잘봤습니다 ^^ ,10
이터널 선샤인,영화보다가 이상하게 공드리가 생각났는데 이 영화 감독 이름과 같더군요 여운이 길게 남는 영화였습니다 ,10
어벤져스: 엔드게임,One word..  WOW!처음부터 울컥해서  크리넥스 흠뻑 젖음. 왕의 귀환 보고 났을 때가 생각남. '이제 무슨 낙으로 살지?' ,10
어벤져스: 엔드게임,소름 여러 번 돋았음... ,10
어벤져스: 엔드게임,진짜끝인건지먹먹함.... ,8
어벤져스: 엔드게임,세시간이 지루할틈없이 몰입해서  잘보고갑니다 짠하네요. 그동안 힘들었을텐데 영웅들이여 수고했어요 ,9
어벤져스: 엔드게임,지루함 하품 20번은 넘게 함 진짜루! 여기 알바 엄청남 나중에 티비로 보셈 제발 ... 후회합니다 ,2
어벤져스: 엔드게임,"And I am not Ironman, but I love Ironman. ",10
이터널 선샤인,20대때 30대때  다르더라..이 영화....40대가 된 지금 다시보면 어떻게 다가올까...궁금해지는 영화.... ,10
어벤져스: 엔드게임,처음으로 댓글 남겨봅니다. 영화가 끝나고 정말 먹먹하네요. 며칠동안 후유증이 있을 것 같습니다. 마블 너무 사랑합니다. ,10
어벤져스: 엔드게임,잊지못할 3시간이자 10년.. 감동 그 자체 ,10
어벤져스: 엔드게임,진짜 최고의 영화ㅠㅠ 마지막이라니 슬픔따름.. ,10
어벤져스: 엔드게임,진짜 최고입니다.. 너무너무 재밌고 여운 남는 영화라 한 번 더 볼 예정입니다 ㅠ ,10
어벤져스: 엔드게임,이 영화 꼭 봐라 안보면 후회한다 나는 이 영화 보고 마블 아이언맨 부터 정주행 하고 있다 그리고 스포하지마라 ,10
어벤져스: 엔드게임,쿠키영상은 없지만 마지막 어벤져스 엔드게임 인 만큼 마지막 까지 다보고 나왓어요3000만큼 사랑합니다다음 어벤져스도 기대 할게요 ,10
어벤져스: 엔드게임,10년의 기다림이 아깝지 않다. ,10
어벤져스: 엔드게임,3000만큼 사랑해요 ,10
오직 그대만,2019.4.26 다섯번째 보고있다 눈물 나네  아 ,10
어벤져스: 엔드게임,진짜 사랑합니다... ,10
어벤져스: 엔드게임,3000보다 더 사랑합니다! ,10
요로나의 저주,"뭔가 조금 아쉽지만, 순간 놀랄만한 장면은 있음. 다만, 그러나 너무 조미료가 많이 쳐진 광고.. ",8
어벤져스: 엔드게임,"2008에 아이언맨을 보고 반했고, 2019년 아이언맨을 보고 울었다. ",10
어벤져스: 엔드게임,그리고 나서x 그러고 나서o ,10
돈,이것도 아니고 저것도 아닌 어정쩡했다 그저 류준열 연기만 보였을뿐 ,4
어벤져스: 엔드게임,인피티니워가 더 재밌었던듯 ,8
어벤져스: 엔드게임,아이언맨이 세상을 구한다. ,10
헬보이,그냥 그랬다~~! ~~~ ,6
어벤져스: 엔드게임,어벤저스 최고의 결말이었다. ,10
어벤져스: 엔드게임,너무 기대하고 봐서 그런지..처음엔 좀 지루한데 볼만합니다 ,8
어벤져스: 엔드게임,"5년 뒤에 시간여행하는 전개 나만 어이없었나...작중 대사에서도 백투더퓨쳐, 터미네이터가 구라라더니 결국 지들도 똑같은 식상하고 뻔한 시간여행전개...게다가 스토리상 싸울상대가 없어서 과거의 타노스 억지로 현실로 데려온것도 개어이상실이네 ㅉㅉ ",1
어벤져스: 엔드게임,우와 마지막 액션은 정말 파티 같네요! ,10
어벤져스: 엔드게임,마지막 전체 전투씬에서 나도 모르게 눈물이 났다. 그냥 보세요 꼭 보세요. 시간가는지를 몰랐다 정말 ,10
어벤져스: 엔드게임,허리가 조금 아팠지만 재밌었습니다 ,8
어벤져스: 엔드게임,고마웠어요 나의 히어로 ,10
스키타이: 불멸의 전사,곰탱이같은 소리하고 있네 ,3
어벤져스: 엔드게임,아이언맨 3000만큼 사랑합니다ㅠㅠㅠㅠ ,10
어벤져스: 엔드게임,I love you 3000!!!! ,10
어벤져스: 인피니티 워,엔드게임을 위한 거대한 예고편 ,8
어벤져스: 엔드게임,ㅠㅠ개띵작 열번볼거 완벽한영화 ,10
어벤져스: 엔드게임,"마블의 시작과 끝을 알리는 ""아이앰 아이언맨!"" ",10
어벤져스: 엔드게임,전작들을 최대한 많이 보고 가시는게 좋을듯 합니다. ,8
어벤져스: 엔드게임,최악 토르 뚱땡이 실화냐 지루하고 노잼이고 캐붕에 설붕 ,1
어벤져스: 엔드게임,엄청나게재미있습니다 ㅎㅎㅎ ,9
이터널 선샤인,이별할 때 보면 너무 마음에 와닿는 영화 ,10
어벤져스: 엔드게임,그냥 스토리 생각하지 말고 봐야 하는 영화. 과거 영화들 여기저기 석은 영화. 새로운건 없는데 여태까지 영화를 다 본 사람들에게 선물 주는 영화. 전투라고 마지막에 한번 하는데 별 긴장감은 없음. ,6
어벤져스: 엔드게임,11년 마블의 마지막을 잘 장식했네요 ,10
어벤져스: 엔드게임,개꿀잼입니당ㅎㅎㅎㅎ ,10
어벤져스: 엔드게임,버거킹 치즈버거가 3000원이라는 사실 ! ,10
어스,계속 무거워서 조금머리아프긴 했는데 잼ㅅ섯음 ,9
기묘한 가족,저는 개일적으로 재밌었어요. 아무생각없이 볼수있어요 ,10
유전,깜짝 놀래키는 영화가 아닌、 말 그대로 공포에 질리게 만드는 공포영화 ,7
어벤져스: 엔드게임,인피니티 건틀렛 착용한 타노스와의 처절한 결전을 기대한 분들은 안보길 추천합니다. ,4
어벤져스: 엔드게임,"남기신 분 중 여자히어로들만 뭉쳐서 싸우는 장면을 페미처럼 보인다고 하셨는데, 아마 A-FORCE를 염두하고 연출한것 같은 생각입니다~ 큰그림 일듯? ㅎㅎ ",10
어벤져스: 엔드게임,음키파푸아다지ㅢ아우오 ,8
어벤져스: 엔드게임,진짜 이런 히어로물 영화가 또 나올까.. 다 보고나서 뭔가 아쉽고 슬픈 느낌 ,10
어벤져스: 엔드게임,기대이하 비추천입니다 정말 ,2
어벤져스: 엔드게임,마블영화보고뭉클하긴첨이다 ,10
노무현과 바보들,돈 받고 걸려서 처벌 안받고 자살한 범죄자가 뭐가 그립냐? ,1
어벤져스: 엔드게임,정말 정말 정말 지루했어요 ,2
어벤져스: 엔드게임,"믿고봤고요, 역시나 배신은 없었어요! ",10
어벤져스: 엔드게임,두번보고 세번 봐야할 영화 ,10
어벤져스: 엔드게임,역시 마블이었습니다!!! 총망라!!! ,10
어벤져스: 엔드게임,"최고야...,... ",10
어벤져스: 엔드게임,작위적이고 우숩던 부분도 분명 있었지만 그 이상 충분히 만족스럽고 감동스러웠다 ,10
어벤져스: 엔드게임,마블 히어로.. 소우주만큼 영원하길 바랍니다ㅎㅅㅎ ,9
어벤져스: 엔드게임,마블 팬들 즐겁게 볼수있을것같아요 감동입니다 ,10
어벤져스: 엔드게임,재밋엇습니다ㅜㅜ또볼거같네요 ,10
이터널 선샤인,인생영화. 나이가 들고 경험이 쌓일수록 더 깊게 이해할수 있다. 스토리 영상 음악 연기 연출 모든게 완벽한 영화 ,10
어벤져스: 엔드게임,ㄱ ㅐ 봉 2일만에 200만 실화?? ,10
어벤져스: 엔드게임,최고의 마지막 전투씬~~! ,10
더 캡틴,흑백 필름 속에 감춰진 잔인함은 생생하게 보인다 감독이 작정하고 만든 명작 ,10
어벤져스: 엔드게임,인생 최고의 영화 3000만큼 사랑해 ,10
어벤져스: 엔드게임,그냥 정리하는 영화의 느낌물씬 ,6
어벤져스: 엔드게임,여러분 꼭 보세요. 두번보세요.연출대박이에요. ,10
노팅 힐,너무좋았어요!! 굿굿 ,10
이터널 선샤인,한번더봐봐~~~~! ,10
어벤져스: 엔드게임,역시 대박  아주 잘 맘들었어요 ,10
유랑지구,CG는  좋았는데 내용이 너무 지루합니다 ,4
어벤져스: 엔드게임,시간 가는 줄 모르고 봤습니다. 감사했습니다. ,10
어벤져스: 엔드게임,현재를 소중히.. ㅠㅠ나타샤.. ,10
어벤져스: 엔드게임,마지막까지 좋았던 영화임...ㅠㅠ 마지막이라는게 아쉽지만 최고였어요!!! ,10
돈,"초반 몰입감이 너무좋아서 중후반 용두사미로 끝나는가부다했는데, 충분히 재미있는 영화였습니다 류준열 좋음 ",8
어벤져스: 엔드게임,울다가 웃다가 울다가 웃다가 ,10
어벤져스: 엔드게임,정말 재밌게 봤습니다 보다가 나도 감정 울컥했는데 참았음... 전투씬은 최고였어요!!! ,10
어벤져스: 엔드게임,엔드게임 꼭 보세요. 정말 후회 안합니다. 후반에 소름도 돋고 눈물도 찔끔 흘렸음.. ,10
어벤져스: 엔드게임,이래서 이렇게 전개가 된거구나 알수잇음 꿀잼 ,10
어벤져스: 엔드게임,소름...어떤말로도 표현할수없음 ,10
어벤져스: 엔드게임,진짜개꿀잼~~~~! ,10
어벤져스: 엔드게임,마블 계속사랑할렵니다!! ,10
자전차왕 엄복동,시험 마지막 날이니 1점 드리겠습니다. ,1
어벤져스: 엔드게임,내 10대를 함께한 어벤져스 박수칠때 떠나지 말라고... ,10
어벤져스: 엔드게임,최악!!! 내가 왜 새벽이 이걸 보고 있나 싶을정도로 재미없음. 유투브에 추측성 예고편이 더 스토리가 좋음. 아 시간 아까워 ,2
어벤져스: 엔드게임,흠이라면 시리즈가 끝났다는 것 ,10
어벤져스: 엔드게임,I’m Iron Man ,10
어벤져스: 엔드게임,멋져몃져멋져엿저멋져 ,10
어벤져스: 엔드게임,너무 재미 있었습니다~~ ,10
자전차왕 엄복동,오늘은 4월 26일입니다. 1점 드리겠습니다. ,1
캡틴 마블,어벤져스 땜에 급하게 봤는데재밌네요 ,9
어벤져스: 엔드게임,3시간 순삭이네요. 재미있습니다. ,10
어벤져스: 엔드게임,3시간가까이 하더라구요.잘봤습니다 ,6
어벤져스: 엔드게임,나중에 앤드게임 얘기할때 아재소리 안듣게끔 계속 만들어주세요 ,10
어벤져스: 엔드게임,아이언맨 아이언맨 아이언맨 ,10
어벤져스: 엔드게임,최소 3번 관람하셔야합니다 ,10
어벤져스: 엔드게임,울다가 웃다가 3시간 57초가 후딱 지나가네요. ,10
어벤져스: 엔드게임,말이 필요 없죠 최고에요 ,10
어벤져스: 엔드게임,올해 본것중에 제일 재밌었어요!! ,10
어벤져스: 엔드게임,좀   지루 합니다  허무하기도  하구요 ,8
어벤져스: 엔드게임,올해 최고의 3시간였습니다. ,10
어벤져스: 엔드게임,아쉬운점을 감안하고서라도 3시간 내내 집중해서 봤어요 ,10
어벤져스: 엔드게임,나의 10년 고마웠어이보다 완벽할 수 없는 엔드게임 ,10
어벤져스: 엔드게임,마무리는 잘한느낌!!!! ,8
오직 그대만,최고의 캐스팅이네요 ~~엄지척 ,10
어벤져스: 엔드게임,초반에 졸다가 마지막한타때 잠이다깨버렸다; ,10
어벤져스: 엔드게임,여운이라는게뭔지 알게되었다 ,10
어벤져스: 엔드게임,다크나이트 이후 다시보고싶은 영화 ,10
어벤져스: 엔드게임,시간가는줄 몰랐어요~~  3000만큼 사랑해♡ ,10
어벤져스: 엔드게임,진짜 서사 다 망가지고 누굴 위한 영화인지 모를ㅋㅋ아이언맨 팬들은 좋아할듯 ,1
어벤져스: 엔드게임,지금 까지 이런 작품은 없었다! ,10
어벤져스: 엔드게임,"마블영화를 접한지는 얼마 안되었지만 이런 영화를 만들기 위해 노력한 감독, 제작진, 배우들 자체가 지금 현재를 살아가고 있는 시대의 영웅이었다는 생각이 들만큼 마무리가 멋진 영화였습니다.누군가의 작별이 또 다른 누군가와의 새로운 만남이 되기를:) ",10
어벤져스: 엔드게임,스토리는 역시  최고다만 시리즈 안보신 분들이면 재미없을수있음 ,10
자전차왕 엄복동,희대의 쓰렉.. 평도 아까움 ,1
어벤져스: 엔드게임,그냥 봐라..말이 필요없다.. ,10
어벤져스: 엔드게임,아메리카의 엉덩이 너무 섹시하자너 ,10
어벤져스: 엔드게임,어제 봤는데 오늘 또 보러 가요....  아 진짜 사랑해요 마블 ,10
어벤져스: 엔드게임,내 인생의 3000점 영화 ,10
어벤져스: 엔드게임,어벤저스 그동안 수고했어 이제끝~~ ,8
어벤져스: 엔드게임,역대 최고의 마블이다 !!!! ,10
어벤져스: 엔드게임,다음주에는 투디로 볼거다 ,10
어벤져스: 엔드게임,재밋고 이제 끝낫다고하니 아쉬움 ,10
어벤져스: 엔드게임,진짜 엔드게임 재미있게 잘봤습니다~마블 짱 ,10
어벤져스: 엔드게임,"인피니티워에 비하면 가벼운 느낌적인 느낌~ 하지만 페이즈1의 마무리로는 훌륭했습니다. 아이언맨, 캡틴어메리카 멋져요!! ",9
클레멘타인,0245569871 ,10
어벤져스: 엔드게임,그냥 마지막을위한 영화였다 ,10
어벤져스: 엔드게임,나도 3000만큼 사랑해 ,10
어벤져스: 엔드게임,흑흑 또 보러가야지 ㅜㅜ ,10
어벤져스: 엔드게임,너무길어서 전개과정이 지루혔다 ,6
어벤져스: 엔드게임,사랑해욧ㅠ 재밋엇어욧 ,10
어벤져스: 엔드게임,마블ㅠㅠㅡ결말ㅠㅠ아쉽 ,8
어벤져스: 엔드게임,잘가요. 10년동안 정말 즐거웠어요! ,10
어벤져스: 엔드게임,꿀잼입니다.너무재밌게봤어요 ,10
어벤져스: 엔드게임,평점 100점도 모자랄만큼 제 인생 영화가 되었습니다.마블은 사랑입니다 ,10
어벤져스: 엔드게임,재밌었어요  3시간 순삭  ㅋㅋ ,10
어벤져스: 엔드게임,"11년 대장정의 훌륭한 마무리, 모든 장면이 팬들을 위한 헌사 ",10
어벤져스: 엔드게임,3시간이 전혀 지루하지 않았다... 그리고 울컥했다 ㅠ0ㅠ  이잉~ ,10
어벤져스: 엔드게임,엄청 잼나요~~지루함 1도 없음요^^ ,10
어벤져스: 엔드게임,엔드게임을 보면서 마블의 10년을 돌아보게 되고 예전  추억들이 생각나네요마블팬들을 위한 최고의 선물이  아닐까  생각합니다. 마무리도 완벽했어요지난 10여년동안  기쁨과 감동을 주셔서 감사합니다 마블 3000만큼 사랑해요 어벤져스 어쌤블!!! ,10
어벤져스: 엔드게임,최고의영화소름ㅎㅎㅎ ,10
반딧불이의 묘,15살 짜리 중학생이랑 3살 짜리 애기한테 전쟁의 책임을 지고 불쌍한척 말고 반성하라고? 쟤네 아빠가 해군이지 쟤네가 군인이냐? 특히 나무위키 문서 쓴 새X 진짜 제정신인가 몰겠네 중딩보고 전쟁통에 굶어죽은게 게으른 지 탓이라는 개논리는 첨들어봤다 ,10
어벤져스: 엔드게임,재밌게 잘보고 왔습니다 ,10
어스,스토리가좀그러네요요 ,6
어벤져스: 엔드게임,갓...인생영화!! ,10
어벤져스: 엔드게임,정말 재밌었습니다.  어벤져스 영화중 으뜸! ,10
어벤져스: 엔드게임,마블 감사합니다  이런 영화를 선물해줘서 ,10
어벤져스: 엔드게임,"가장 후회한거 : 콜라 라지 마시지말걸,, ",10
어벤져스: 엔드게임,태어나서 본 영화중에 제일 재밌음!!! ,10
어벤져스: 엔드게임,나의 영웅들..안녕히.. ,10
어벤져스: 엔드게임,이젠 의리로 보는 어벤져스 ㅜㅜ ,6
프레스티지,초반 지루할 것 같다는 느낌이 있었지만 점차 몰입하게되는 영화 ,9
어벤져스: 엔드게임,솔직히 완다 덕분에 한타 이겼다 ㄹㅇ ,10
어벤져스: 엔드게임,아이언맨 블랙위도우 사라해요 ㅠ ,10
어벤져스: 엔드게임,질질 안끌어서 좋았다 ㅋ ,10
어벤져스: 엔드게임,인피니티워에서 그렇게 쌔던 토르 씹하향해서 1점 드립니다 ,1
어벤져스: 엔드게임,졸리던데요.... ㅠㅠ ,6
어벤져스: 엔드게임,3000 3000 3000 ,10
어벤져스: 엔드게임,thank you 3000 ,10
어벤져스: 엔드게임,3시간이라 좀 빡시지만 재미남 ,9
블리드 포 디스,"실화가 주는 감동이 충분한데다, 마일즈텔러의 대단함을 다시한번 느끼게해준다 ",7
어벤져스: 엔드게임,역대급이었다. 또 본다 무조건 ㅠㅠ ,10
어벤져스: 엔드게임,나만 운거 아니죠?사랑해요 아이언맨 ,10
항거:유관순 이야기,가슴으로 울었던 영화... ,10
어벤져스: 엔드게임,좋은 영화 감사합니다. ,10
미성년,이것을 보지 않으면 평생 후회할 것이다 ,10
어벤져스: 엔드게임,어벤져스 어셈블!!!! ,10
